"Company Name ","Symbol ","Sector ","Sub-Sector ","Listing Date ","Listing Board "
"PAL Holdings, Inc.",PAL,SERVICES,TRANSPORTATION SERVICES,1954/01/04,Main Board
"Paxys, Inc.",PAX,SERVICES,OTHER SERVICES,1972/10/05,Main Board
"Philippine Business Bank, Inc., A Savings Bank",PBB,FINANCIALS,BANKS,2013/02/19,Main Board
"Philippine Bank of Communications",PBC,FINANCIALS,BANKS,1988/05/12,Main Board
"Petron Corporation",PCOR,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,1994/09/07,Main Board
"PetroEnergy Resources Corporation",PERC,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2004/08/11,Main Board
"Puregold Price Club, Inc.",PGOLD,SERVICES,RETAIL,2011/10/05,Main Board
"Premiere Horizon Alliance Corporation",PHA,SERVICES,OTHER SERVICES,1997/05/05,Main Board
"Philcomsat Holdings Corporation",PHC,SERVICES,OTHER SERVICES,1958/11/28,Main Board
"Philippine Estates Corporation",PHES,PROPERTY,PROPERTY,1985/01/21,Main Board
"Phinma Corporation",PHN,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,1958/08/18,Main Board
"PH Resorts Group Holdings, Inc.",PHR,SERVICES,CASINOS & GAMING,2011/11/24,Main Board
"Shakey`s Pizza Asia Ventures Inc.",PIZZA,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,2016/12/15,Main Board
"DigiPlus Interactive Corp.",PLUS,SERVICES,CASINOS & GAMING,1958/04/17,Main Board
"Panasonic Manufacturing Philippines Corporation",PMPC,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,1983/01/21,Main Board
"Philippine National Bank",PNB,FINANCIALS,BANKS,1989/06/21,Main Board
"Philippine National Construction Corporation",PNC,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,1974/03/13,Main Board
"P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC.",PNX,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2007/07/11,Main Board
"P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual - Series ``3A`` Preferred Shares",PNX3A,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2015/12/18,Main Board
"P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual - Series ``3B`` Preferred Shares",PNX3B,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2015/12/18,Main Board
"P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual Preferred Shares Series ``4``",PNX4,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2019/11/07,Main Board
"P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual Preferred Shares",PNXP,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2015/01/08,Main Board
"Globalport 900, Inc.",PORT,SERVICES,TRANSPORTATION SERVICES,1948/06/09,Main Board
"Pryce Corporation",PPC,INDUSTRIAL,CHEMICALS,1991/10/29,Main Board
"Philippine Racing Club, Inc.",PRC,SERVICES,CASINOS & GAMING,1952/03/02,Main Board
"Premiere Island Power REIT Corporation",PREIT,PROPERTY,PROPERTY,2022/12/15,Main Board
"Petron Corporation Perpetual Preferred Shares Series ``2`` -Subseries ``2A``",PRF2A,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2014/11/03,Main Board
"Petron Corporation Perpetual Preferred Shares Series ``2`` -Subseries ``2B``",PRF2B,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2014/11/03,Main Board
"Petron Corporation Perpetual Preferred Shares Series ``3`` -Subseries ``3A``",PRF3A,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2019/06/25,Main Board
"Petron Corporation Perpetual Preferred Shares Series ``3`` -Subseries ``3B``",PRF3B,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2019/06/25,Main Board
"Petron Corporation Non-Voting Perpetual Series 4A Preferred Shares",PRF4A,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2023/07/07,Main Board
"Petron Corporation Non-Voting Perpetual Series 4B Preferred Shares",PRF4B,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2023/07/07,Main Board
"Petron Corporation Non-Voting Perpetual Series 4C Preferred Shares",PRF4C,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2023/07/07,Main Board
"Petron Corporation Non-Voting Perpetual Series 4D Preferred Shares",PRF4D,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2024/09/23,Main Board
"Petron Corporation Non-Voting Perpetual Series 4E Preferred Shares",PRF4E,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2024/09/23,Main Board
"Prime Media Holdings, Inc.",PRIM,HOLDING FIRMS,HOLDING FIRMS,1964/07/29,Main Board
"Primex Corporation",PRMX,PROPERTY,PROPERTY,2001/08/10,Main Board
"Philippine Savings Bank",PSB,FINANCIALS,BANKS,1994/10/10,Main Board
"The Philippine Stock Exchange, Inc.",PSE,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,2003/12/15,Main Board
"Philippine Trust Company",PTC,FINANCIALS,BANKS,1988/02/17,Main Board
"PT&T Corp.",PTT,SERVICES,TELECOMMUNICATIONS,1990/01/10,Main Board
"Philex Mining Corporation",PX,MINING & OIL,MINING,1956/11/23,Main Board
"PXP Energy Corporation",PXP,MINING & OIL,OIL,2011/09/12,Main Board
"Rizal Commercial Banking Corporation",RCB,FINANCIALS,BANKS,1986/11/06,Main Board
"Roxas and Company, Inc.",RCI,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1948/11/29,Main Board
"RL Commercial REIT, Inc.",RCR,PROPERTY,PROPERTY,2021/09/14,Main Board
"Repower Energy Development Corporation",REDC,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2023/07/24,Main Board
"Republic Glass Holdings Corporation",REG,HOLDING FIRMS,HOLDING FIRMS,1959/07/17,Main Board
"RFM Corporation",RFM,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1966/02/21,Main Board
"Robinsons Land Corporation",RLC,PROPERTY,PROPERTY,1989/10/16,Main Board
"Philippine Realty and Holdings Corporation",RLT,PROPERTY,PROPERTY,1987/09/07,Main Board
"Rockwell Land Corporation",ROCK,PROPERTY,PROPERTY,2012/05/11,Main Board
"Roxas Holdings, Inc.",ROX,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1996/08/08,Main Board
"Robinsons Retail Holdings, Inc.",RRHI,SERVICES,RETAIL,2013/11/11,Main Board
"SBS Philippines Corporation",SBS,SERVICES,OTHER SERVICES,2015/08/10,Main Board
"Semirara Mining and Power Corporation",SCC,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,1983/11/28,Main Board
"Security Bank Corporation",SECB,FINANCIALS,BANKS,1995/06/08,Main Board
"Philippine Seven Corporation",SEVN,SERVICES,RETAIL,1998/02/04,Main Board
"Swift Foods, Inc.",SFI,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1994/11/15,Main Board
"Swift Foods, Inc. Convertible Preferred",SFIP,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,2000/03/17,Main Board
"Solid Group, Inc.",SGI,HOLDING FIRMS,HOLDING FIRMS,1948/04/26,Main Board
"Synergy Grid & Development Phils., Inc.",SGP,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,1972/05/10,Main Board
"Shell Pilipinas Corporation",SHLPH,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2016/11/03,Main Board
"Shang Properties, Inc.",SHNG,PROPERTY,PROPERTY,1991/06/13,Main Board
"Sun Life Financial Inc.",SLF,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,2000/03/24,Main Board
"Sta. Lucia Land, Inc.",SLI,PROPERTY,PROPERTY,1987/09/14,Main Board
"SM Investments Corporation",SM,HOLDING FIRMS,HOLDING FIRMS,2005/03/22,Main Board
"San Miguel Corporation",SMC,HOLDING FIRMS,HOLDING FIRMS,1948/11/05,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-A``",SMC2A,HOLDING FIRMS,HOLDING FIRMS,2012/09/28,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-B``",SMC2B,HOLDING FIRMS,HOLDING FIRMS,2012/09/28,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-C``",SMC2C,HOLDING FIRMS,HOLDING FIRMS,2012/09/28,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-D``",SMC2D,HOLDING FIRMS,HOLDING FIRMS,2015/09/21,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-E``",SMC2E,HOLDING FIRMS,HOLDING FIRMS,2015/09/21,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-F``",SMC2F,HOLDING FIRMS,HOLDING FIRMS,2015/09/21,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-G``",SMC2G,HOLDING FIRMS,HOLDING FIRMS,2016/03/30,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-H``",SMC2H,HOLDING FIRMS,HOLDING FIRMS,2016/03/30,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-I``",SMC2I,HOLDING FIRMS,HOLDING FIRMS,2016/03/30,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-J``",SMC2J,HOLDING FIRMS,HOLDING FIRMS,2020/10/29,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-K``",SMC2K,HOLDING FIRMS,HOLDING FIRMS,2020/12/10,Main Board
"San Miguel Corporation Series 2 Preferred Shares – Subseries ``2L``",SMC2L,HOLDING FIRMS,HOLDING FIRMS,2023/12/01,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-M``",SMC2M,HOLDING FIRMS,HOLDING FIRMS,2023/08/29,Main Board
"San Miguel Corporation Series 2 Preferred Shares – Subseries ``2N``",SMC2N,HOLDING FIRMS,HOLDING FIRMS,2023/12/01,Main Board
"San Miguel Corporation Series 2 Preferred Shares – Subseries ``2O``",SMC2O,HOLDING FIRMS,HOLDING FIRMS,2023/12/01,Main Board
"San Miguel Corporation - Preferred Series ``1``",SMCP1,HOLDING FIRMS,HOLDING FIRMS,2010/12/08,Main Board
"SM Prime Holdings, Inc.",SMPH,PROPERTY,PROPERTY,1994/07/05,Main Board
"SOCResources, Inc.",SOC,PROPERTY,PROPERTY,1994/01/05,Main Board
"SPC Power Corporation",SPC,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2002/04/02,Main Board
"Seafront Resources Corporation",SPM,HOLDING FIRMS,HOLDING FIRMS,1974/05/07,Main Board
"SP New Energy Corporation",SPNEC,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,2021/12/17,Main Board
"Supercity Realty Development Corporation",SRDC,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,2003/12/19,Main Board
"SSI Group, Inc.",SSI,SERVICES,RETAIL,2014/11/07,Main Board
"SFA Semicon Philippines Corporation",SSP,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2014/12/01,Main Board
"STI Education Systems Holdings, Inc.",STI,SERVICES,EDUCATION,1976/10/12,Main Board
"Steniel Manufacturing Corporation",STN,INDUSTRIAL,OTHER INDUSTRIALS,1993/11/22,Main Board
"Vistamalls, Inc.",STR,PROPERTY,PROPERTY,1970/11/17,Main Board
"Suntrust Resort Holdings, Inc.",SUN,PROPERTY,PROPERTY,1959/02/11,Main Board
"TKC Metals Corporation",T,INDUSTRIAL,CONSTRUCTION, INFR. & ALLIED,2001/07/20,Main Board
"Transpacific Broadband Group Int`l. Inc.",TBGI,SERVICES,INFORMATION TECHNOLOGY,2003/12/12,Main Board
"Cirtek Holdings Philippines Corporation Preferred B-2 Subseries ``A`` Shares",TCB2A,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2017/12/08,Main Board
"Cirtek Holdings Philippines Corporation Preferred B-2 Subseries ``B`` Shares",TCB2B,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2021/02/02,Main Board
"Cirtek Holdings Philippines Corporation Preferred B-2 Subseries C Shares",TCB2C,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2021/12/14,Main Board
"Cirtek Holdings Philippines Corporation Preferred B-2 Subseries D Shares",TCB2D,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2021/12/14,Main Board
"Cirtek Holdings Philippines Corporation",TECH,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2011/11/18,Main Board
"Cirtek Holdings Philippines Corporation Bonus Detachable Warrants",,,,2021/08/16,Main Board
"PLDT Inc.",TEL,SERVICES,TELECOMMUNICATIONS,1953/09/17,Main Board
"PTFC Redevelopment Corporation",TFC,PROPERTY,PROPERTY,1955/12/19,Main Board
"Top Frontier Investment Holdings, Inc.",TFHI,HOLDING FIRMS,HOLDING FIRMS,2014/01/13,Main Board
"PLDT Inc. Convertible Preferred Shares Series ``II``",TLII,SERVICES,TELECOMMUNICATIONS,2014/10/15,Main Board
"PLDT Inc. Convertible Preferred Shares Series ``JJ``",TLJJ,SERVICES,TELECOMMUNICATIONS,2016/01/21,Main Board
"Harbor Star Shipping Services, Inc.",TUGS,SERVICES,TRANSPORTATION SERVICES,2013/10/30,Main Board
"Union Bank of the Philippines",UBP,FINANCIALS,BANKS,1992/06/29,Main Board
"Uniholdings Inc.",UNH,INDUSTRIAL,CHEMICALS,1985/11/21,Main Board
"United Paragon Mining Corporation",UPM,MINING & OIL,MINING,1972/08/31,Main Board
"Upson International Corp.",UPSON,SERVICES,RETAIL,2023/04/03,Main Board
"Universal Robina Corporation",URC,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1994/03/25,Main Board
"Vantage Equities, Inc.",V,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,1993/03/30,Main Board
"Vitarich Corporation",VITA,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1995/02/08,Main Board
"Vista Land & Lifescapes, Inc.",VLL,PROPERTY,PROPERTY,2007/06/25,Main Board
"Vista Land & Lifescapes, Inc. Series 2A Preferred Shares",VLL2A,PROPERTY,PROPERTY,2024/10/04,Main Board
"Vista Land & Lifescapes, Inc. Series 2B Preferred Shares",VLL2B,PROPERTY,PROPERTY,2024/10/04,Main Board
"Victorias Milling Company, Inc.",VMC,INDUSTRIAL,FOOD, BEVERAGE & TOBACCO,1993/11/15,Main Board
"VistaREIT, Inc.",VREIT,PROPERTY,PROPERTY,2022/06/15,Main Board
"Vivant Corporation",VVT,INDUSTRIAL,ELEC., ENERGY, POWER & WATER,1994/06/23,Main Board
"Philweb Corporation",WEB,SERVICES,CASINOS & GAMING,1969/12/08,Main Board
"Wellex Industries, Inc.",WIN,HOLDING FIRMS,HOLDING FIRMS,1958/01/09,Main Board
"Wilcon Depot, Inc.",WLCON,SERVICES,RETAIL,2017/03/31,Main Board
"Waterfront Philippines, Incorporated",WPI,SERVICES,HOTEL & LEISURE,1995/03/17,Main Board
"Xurpas Inc.",X,SME,SME,2014/12/02,SME Board
"NexGen Energy Corp.",XG,SME,SME,2024/07/16,SME Board
"Zeus Holdings, Inc.",ZHI,HOLDING FIRMS,HOLDING FIRMS,1991/07/15,Main Board
